supplier_code,name,country,contact_email,phone
SUP001,Mountain Spring Tea Co.,Russia,tea@gorskii.ru,+79161234567
SUP002,Coffee Masters,Colombia,contact@coffeemasters.com,+57123456789
SUP003,Spice World,India,info@spiceworld.in,+911234567890
SUP004,Golden Tea Leaves,Sri Lanka,sales@goldentea.lk,+94123456789
SUP005,Ethiopian Coffee Co.,Ethiopia,order@ethiopcoffee.et,+251123456789
SUP006,Organic Spices Ltd.,Turkey,info@orgspices.com.tr,+901234567890
SUP007,Japanese Matcha,Japan,support@matcha.jp,+81123456789
SUP008,Peruvian Cocoa,Peru,cocoa@perutrade.pe,+51123456789
SUP009,Russian Herbs,Russia,herbs@rusherbs.ru,+79187654321
SUP010,Vietnamese Pepper,Vietnam,pepper@vietexport.vn,+84123456789
